REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Gender unknown,International students,3
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,2007
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,459
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,363
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,75
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,219
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,45
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,246
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,54
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,840
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,International students,165
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,2040
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,International students,324
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,423
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,18
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,336
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,33
2018/2019,British Columbia,College,Full-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,21
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,81
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,21
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,48
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,735
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,408
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,1542
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,438
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,9
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,International students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,312
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,45
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,678
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,78
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,1539
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,1284
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,1350
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,1566
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,International students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,597
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,384
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,723
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,588
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,345
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,438
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,48
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,294
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,International students,0
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,480
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,39
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,117
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,15
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,27
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,9
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,33
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,27
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,669
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,78
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,2355
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,195
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,International students,0
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,78
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,24
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,42
2018/2019,British Columbia,College,Full-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,24
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,12
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,3
2018/2019,British Columbia,College,Full-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,Canadian students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,Canadian students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Male gender,Canadian students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,33
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,342
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,42
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,International students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,Canadian students,12
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Male gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Female gender,Canadian students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,International students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,Canadian students,21
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,Canadian students,3
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,Canadian students,6
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,International students,0
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,72
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,International students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Male gender,Canadian students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Other  [12],Female gender,Canadian students,6
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,Canadian students,66
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,18
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,Canadian students,99
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,30
2018/2019,British Columbia,College,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Male gender,Canadian students,351
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Male gender,International students,390
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Female gender,Canadian students,846
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Female gender,International students,501
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Personal improvement and leisure [0],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Humanities [3],Male gender,Canadian students,12
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Humanities [3],Male gender,International students,72
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Humanities [3],Female gender,Canadian students,12
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Humanities [3],Female gender,International students,78
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Humanities [3],Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Upper secondary education,"Business, management and public administration [5]",Male gender,Canadian students,9
2018/2019,British Columbia,College,Part-time student,Upper secondary education,"Business, management and public administration [5]",Male gender,International students,0
2018/2019,British Columbia,College,Part-time student,Upper secondary education,"Business, management and public administration [5]",Female gender,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Health and related fields [10],Female gender,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Health and related fields [10],Female gender,International students,3
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Other  [12],Male gender,Canadian students,1392
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Other  [12],Male gender,International students,45
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Other  [12],Female gender,Canadian students,2277
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Other  [12],Female gender,International students,33
2018/2019,British Columbia,College,Part-time student,Upper secondary education,Other  [12],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,Canadian students,267
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Male gender,International students,12
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,Canadian students,663
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Female gender,International students,9
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Personal improvement and leisure [0],Gender unknown,Canadian students,18
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Education [1],Male gender,Canadian students,51
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Education [1],Female gender,Canadian students,378
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,222
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,42
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,528
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,57
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,3258
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,International students,384
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,3732
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,International students,315
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,International students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,123
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Male gender,International students,24
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,582
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Female gender,International students,42
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,591
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Male gender,International students,249
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,1704
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Female gender,International students,249
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,45
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Male gender,International students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,234
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Physical and life sciences and technologies [6],Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,198
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,33
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,96
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,15
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,648
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,54
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,162
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,18
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,48
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,15
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,39
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,Canadian students,303
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Male gender,International students,0
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,Canadian students,1560
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Female gender,International students,9
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,1638
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,36
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,513
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,111
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,21
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,Canadian students,27
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,International students,3
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Female gender,Canadian students,24
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Female gender,International students,6
2018/2019,British Columbia,College,Part-time student,Post-secondary non-tertiary education,Other  [12],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Education [1],Male gender,Canadian students,177
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,231
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,Canadian students,81
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Male gender,International students,21
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,Canadian students,135
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Female gender,International students,21
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,Canadian students,423
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Humanities [3],Male gender,International students,60
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,Canadian students,732
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Humanities [3],Female gender,International students,51
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Humanities [3],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,Canadian students,207
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Male gender,International students,27
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,Canadian students,669
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Female gender,International students,30
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Social and behavioural sciences and law [4],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,Canadian students,414
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Male gender,International students,144
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,Canadian students,567
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Female gender,International students,147
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Business, management and public administration [5]",Gender unknown,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,Canadian students,21
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Male gender,International students,15
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,Canadian students,21
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Physical and life sciences and technologies [6],Female gender,International students,12
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,156
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Male gender,International students,54
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,84
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Mathematics, computer and information sciences [7]",Female gender,International students,30
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,213
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,132
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,48
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,12
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Male gender,International students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,15
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Agriculture, natural resources and conservation [9]",Female gender,International students,6
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,Canadian students,312
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Male gender,International students,33
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,Canadian students,879
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Female gender,International students,30
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,Health and related fields [10],Gender unknown,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,Canadian students,165
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Male gender,International students,72
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,Canadian students,78
2018/2019,British Columbia,College,Part-time student,Short-cycle tertiary education,"Personal, protective and transportation services [11]",Female gender,International students,36
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,24
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,54
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,0
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,3
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,474
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,147
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,966
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,192
2018/2019,British Columbia,College,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,3
